2026-07-25 12:46:31,689 | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-25 12:46:31,689 | INFO | [33mPress CTRL+C to quit[0m
2026-07-25 12:46:31,692 | INFO |  * Restarting with stat
2026-07-25 12:46:33,809 | WARNING |  * Debugger is active!
2026-07-25 12:46:33,814 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:50:55,020 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\expense_service.py', reloading
2026-07-25 12:50:55,335 | INFO |  * Restarting with stat
2026-07-25 12:50:58,020 | WARNING |  * Debugger is active!
2026-07-25 12:50:58,028 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:51:57,360 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\controllers\\expense_controller.py', reloading
2026-07-25 12:51:57,770 | INFO |  * Restarting with stat
2026-07-25 12:52:00,483 | WARNING |  * Debugger is active!
2026-07-25 12:52:00,490 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:52:50,161 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\income_service.py', reloading
2026-07-25 12:52:50,537 | INFO |  * Restarting with stat
2026-07-25 12:52:53,314 | WARNING |  * Debugger is active!
2026-07-25 12:52:53,320 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:53:35,308 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\controllers\\income_controller.py', reloading
2026-07-25 12:53:35,632 | INFO |  * Restarting with stat
2026-07-25 12:53:38,656 | WARNING |  * Debugger is active!
2026-07-25 12:53:38,664 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:57:26,498 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\expense_service.py', reloading
2026-07-25 12:57:26,837 | INFO |  * Restarting with stat
2026-07-25 12:57:29,723 | WARNING |  * Debugger is active!
2026-07-25 12:57:29,734 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 12:58:14,399 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\income_service.py', reloading
2026-07-25 12:58:14,800 | INFO |  * Restarting with stat
2026-07-25 12:58:18,027 | WARNING |  * Debugger is active!
2026-07-25 12:58:18,033 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:22:56,892 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\ai_service.py', reloading
2026-07-25 18:22:57,041 | INFO |  * Restarting with stat
2026-07-25 18:22:58,568 | WARNING |  * Debugger is active!
2026-07-25 18:22:58,573 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:22:59,681 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\ai_service.py', reloading
2026-07-25 18:22:59,873 | INFO |  * Restarting with stat
2026-07-25 18:23:01,184 | WARNING |  * Debugger is active!
2026-07-25 18:23:01,189 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:24:07,018 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\controllers\\expense_controller.py', reloading
2026-07-25 18:24:07,223 | INFO |  * Restarting with stat
2026-07-25 18:24:08,538 | WARNING |  * Debugger is active!
2026-07-25 18:24:08,542 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:26:26,355 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\controllers\\expense_controller.py', reloading
2026-07-25 18:26:26,522 | INFO |  * Restarting with stat
2026-07-25 18:26:27,741 | WARNING |  * Debugger is active!
2026-07-25 18:26:27,745 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:28:14,766 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\utils\\validators.py', reloading
2026-07-25 18:28:14,923 | INFO |  * Restarting with stat
2026-07-25 18:28:16,237 | WARNING |  * Debugger is active!
2026-07-25 18:28:16,242 | INFO |  * Debugger PIN: 110-794-155
2026-07-25 18:29:35,612 | INFO |  * Detected change in 'D:\\Git Projects\\AI-Expense-Assistant\\backend\\services\\insights_service.py', reloading
2026-07-25 18:29:35,796 | INFO |  * Restarting with stat
2026-07-25 18:29:37,229 | WARNING |  * Debugger is active!
2026-07-25 18:29:37,233 | INFO |  * Debugger PIN: 110-794-155
